COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
EQH8753;0;1;0;0;0;0;0;0;0;0;
LDX4775;0;2;0;0;0;0;0;0;0;0;
PVJ5885;1;0;0;0;0;0;0;0;0;0;
ABM4269;1;1;0;0;0;0;0;0;0;0;
QKR6588;1;1;0;0;0;0;0;0;0;0;
CFU8919;1;1;0;0;0;0;0;0;0;0;
FGN2125;0;1;0;0;0;0;0;0;0;0;
MUV0184;0;4;0;0;0;0;0;0;0;0;
HST0869;1;1;0;0;0;0;0;0;0;0;
TPM3166;0;1;0;1;0;0;0;0;0;0;
TPM3166;0;3;0;0;0;0;0;0;0;0;
IEH7621;0;4;0;0;0;0;0;0;0;0;
HJW8897;0;2;0;0;0;0;0;0;0;0;
EKC3370;0;3;0;0;0;0;0;0;0;0;
JDS7749;0;1;0;0;0;0;0;0;0;0;
ZKH2712;1;1;0;0;0;0;0;0;0;0;
DVN9208;0;1;0;1;0;0;0;0;0;0;
NSY5121;0;1;0;0;1;0;0;0;0;0;
NBP0573;0;1;0;0;0;0;0;0;0;0;
QHJ1379;0;3;0;0;0;0;0;0;0;0;
IOA7974;0;1;0;1;0;0;0;0;0;0;
ASE5862;0;1;0;0;0;0;0;0;0;0;
HXW6309;1;0;0;0;1;0;0;0;0;0;
IOQ8988;0;1;0;0;0;0;1;0;0;0;
AOU0576;1;1;0;0;0;0;0;0;0;0;
LSU4370;0;0;0;0;1;0;0;0;0;0;
TRU9736;1;0;0;1;0;0;0;0;0;0;
KNX3793;1;1;0;0;0;0;0;0;0;0;
LYX4305;1;1;0;0;0;0;0;0;0;0;
IUB0991;1;0;0;0;1;0;0;0;0;0;
MUZ2408;0;2;0;0;0;0;0;0;0;0;
SNG4877;1;0;0;0;1;0;0;0;0;0;
MVC3712;2;1;0;0;0;0;0;0;0;0;
QZS5473;1;1;0;0;0;0;0;0;0;0;
GBU9632;1;1;0;0;0;0;0;0;0;0;
UIA6937;1;1;0;0;0;0;0;0;0;0;
UTX9611;0;2;0;0;0;0;0;0;0;0;
NYS4126;1;0;0;0;0;0;0;0;0;0;
JQJ6520;1;1;0;0;0;0;0;0;0;0;
ROT4184;1;1;0;0;0;0;0;0;0;0;
FDV8371;1;1;0;0;0;0;0;0;0;0;
UNJ4074;1;2;0;0;0;0;0;0;0;0;
BDV9518;1;0;0;1;0;0;0;0;0;0;
VTM3437;0;2;0;0;0;0;0;0;0;0;
BGU0171;1;1;0;0;0;0;0;0;0;0;
BGU0171;1;1;0;0;0;0;0;0;0;0;
REG3712;1;0;0;0;0;0;1;0;0;0;
PTD7923;1;1;0;0;0;0;0;0;0;0;
CKE2604;1;1;0;0;0;0;0;0;0;0;
VUL9563;1;1;0;0;0;0;0;0;0;0;
DXP6479;2;0;0;0;0;0;0;0;0;0;
SKE8344;0;1;0;0;1;0;0;0;0;0;
GDI5125;1;0;0;0;1;0;0;0;0;0;
LLO8532;1;1;0;0;0;0;0;0;0;0;
YJI6486;0;2;0;0;0;0;0;0;0;0;
HPV7607;1;1;0;0;0;0;0;0;0;0;
EQH8386;0;1;0;0;1;0;0;0;0;0;
NZY3222;1;1;0;0;0;0;0;0;0;0;
LYM0190;1;1;0;0;0;0;0;0;0;0;
SBN6414;1;1;0;0;0;0;0;0;0;0;
QWX1492;1;1;0;0;0;0;0;0;0;0;
WFX7526;1;1;0;0;0;0;0;0;0;0;
WFH3400;1;1;0;0;0;0;0;0;0;0;
EIK0847;1;0;1;0;1;0;0;0;0;0;
UIJ5916;1;1;0;0;0;0;0;0;0;0;
SRT6692;0;4;0;0;0;0;0;0;0;0;
FIH2931;2;0;0;0;0;0;0;0;0;0;
EDR9254;1;1;0;0;0;0;0;0;0;0;
NKQ5149;0;2;0;0;0;0;0;0;0;0;
EUF0986;1;0;1;0;0;0;0;0;0;0;
ILP3202;2;0;0;0;0;0;0;0;0;0;
YUW7785;0;2;0;0;0;0;0;0;0;0;
